old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
03/02/2025,Monday,Tasting place,0.00,0,0,2025-02-03,0.00
03/02/2025,Monday,Distribution b2b,326.80,5,65.36,2025-02-03,326.80
03/02/2025,Monday,Activities,0.00,0,0,2025-02-03,0.00
03/02/2025,Monday,Juntos Products,0.00,0,0,2025-02-03,0.00
03/03/2025,Monday,Juntos house,0.00,0,0,2025-03-03,0.00
03/03/2025,Monday,Juntos boutique,0.00,0,0,2025-03-03,0.00
03/03/2025,Monday,Picadeli,"3,505.00",183,19.15,2025-03-03,3505.00
03/03/2025,Monday,Juntos farm shop,0.00,0,0,2025-03-03,0.00
03/03/2025,Monday,Tasting place,0.00,0,0,2025-03-03,0.00
03/03/2025,Monday,Distribution b2b,189.66,3,63.22,2025-03-03,189.66
03/03/2025,Monday,Activities,0.00,0,0,2025-03-03,0.00
03/03/2025,Monday,Juntos Products,38.00,0,0,2025-03-03,38.00
03/04/2025,Thursday,Juntos house,"5,193.00",66,78.68,2025-04-03,5193.00
03/04/2025,Thursday,Juntos boutique,"1,110.00",13,85.38,2025-04-03,1110.00
03/04/2025,Thursday,Picadeli,"3,740.00",187,20,2025-04-03,3740.00
03/04/2025,Thursday,Juntos farm shop,425.96,20,21.3,2025-04-03,425.96
03/04/2025,Thursday,Tasting place,331.00,29,11.41,2025-04-03,331.00
03/04/2025,Thursday,Distribution b2b,520.99,7,74.43,2025-04-03,520.99
03/04/2025,Thursday,Activities,0.00,0,0,2025-04-03,0.00
03/04/2025,Thursday,Juntos Products,49.56,0,0,2025-04-03,49.56
03/05/2025,Saturday,Juntos house,"7,651.00",93,82.27,2025-05-03,7651.00
03/05/2025,Saturday,Juntos boutique,655.00,5,131,2025-05-03,655.00
03/05/2025,Saturday,Picadeli,"2,017.00",90,22.41,2025-05-03,2017.00
03/05/2025,Saturday,Juntos farm shop,"1,038.25",47,22.09,2025-05-03,1038.25
03/05/2025,Saturday,Tasting place,"1,578.30",60,26.31,2025-05-03,1578.30
03/05/2025,Saturday,Distribution b2b,0.00,0,0,2025-05-03,0.00
03/05/2025,Saturday,Activities,0.00,0,0,2025-05-03,0.00
03/05/2025,Saturday,Juntos Products,391.20,0,0,2025-05-03,391.20
03/06/2025,Tuesday,Juntos house,"5,440.90",73,74.53,2025-06-03,5440.90
03/06/2025,Tuesday,Juntos boutique,"1,358.50",15,90.57,2025-06-03,1358.50
03/06/2025,Tuesday,Picadeli,"3,516.14",202,17.41,2025-06-03,3516.14
03/06/2025,Tuesday,Juntos farm shop,"1,008.71",34,29.67,2025-06-03,1008.71
03/06/2025,Tuesday,Tasting place,734.00,36,20.39,2025-06-03,734.00
03/06/2025,Tuesday,Distribution b2b,999.89,11,90.9,2025-06-03,999.89
03/06/2025,Tuesday,Activities,0.00,0,0,2025-06-03,0.00
03/06/2025,Tuesday,Juntos Products,81.00,0,0,2025-06-03,81.00
