DATE,DAY OF THE WEEK,BUISNESS UNIT,REVENUE,VOLUME,SPEND PER PERSON
17/07/2025,Thursday,Activities,0.00,0,0.00
17/07/2025,Thursday,Juntos Products,54.00,0,0.00
18/07/2025,Friday,Juntos house,"10,049.10",109,92.19
18/07/2025,Friday,Juntos boutique,"2,715.40",11,246.85
18/07/2025,Friday,Picadeli,"3,668.48",168,21.84
18/07/2025,Friday,Juntos farm shop,889.56,31,28.70
18/07/2025,Friday,Tasting place,"1,175.60",68,17.29
18/07/2025,Friday,Distribution b2b,"2,336.40",15,155.76
18/07/2025,Friday,Activities,0.00,0,0.00
18/07/2025,Friday,Juntos Products,0.00,0,0.00
19/07/2025,Saturday,Juntos house,"9,886.50",112,88.27
19/07/2025,Saturday,Juntos boutique,768.00,9,85.33
19/07/2025,Saturday,Picadeli,"2,420.35",111,21.80
19/07/2025,Saturday,Juntos farm shop,"1,680.14",53,31.70
19/07/2025,Saturday,Tasting place,"2,201.00",118,18.65
19/07/2025,Saturday,Distribution b2b,"2,097.30",7,299.61
19/07/2025,Saturday,Activities,0.00,0,0.00
19/07/2025,Saturday,Juntos Products,0.00,0,0.00
20/07/2025,Sunday,Juntos house,"9,560.40",97,98.56
20/07/2025,Sunday,Juntos boutique,"1,042.00",13,80.15
20/07/2025,Sunday,Picadeli,0.00,0,0.00
20/07/2025,Sunday,Juntos farm shop,0.00,0,0.00
20/07/2025,Sunday,Tasting place,0.00,0,0.00
20/07/2025,Sunday,Distribution b2b,0.00,0,0.00
20/07/2025,Sunday,Activities,0.00,0,0.00
20/07/2025,Sunday,Juntos Products,0.00,0,0.00
21/07/2025,Monday,Juntos house,"7,415.15",86,86.22
21/07/2025,Monday,Juntos boutique,"1,259.40",8,157.43
21/07/2025,Monday,Picadeli,"4,589.24",209,21.96
21/07/2025,Monday,Juntos farm shop,0.00,0,0.00
21/07/2025,Monday,Tasting place,0.00,0,0.00
21/07/2025,Monday,Distribution b2b,"2,856.99",14,204.07
21/07/2025,Monday,Activities,0.00,0,0.00
21/07/2025,Monday,Juntos Products,0.00,0,0.00
22/07/2025,Tuesday,Juntos house,"8,146.30",95,85.75
22/07/2025,Tuesday,Juntos boutique,305.00,7,43.57
22/07/2025,Tuesday,Picadeli,"3,952.20",171,23.11
22/07/2025,Tuesday,Juntos farm shop,"1,416.47",57,24.85
22/07/2025,Tuesday,Tasting place,"3,196.22",82,38.98
22/07/2025,Tuesday,Distribution b2b,"2,451.12",12,204.26
22/07/2025,Tuesday,Activities,0.00,0,0.00
22/07/2025,Tuesday,Juntos Products,22.30,0,0.00
23/07/2025,Wednesday,Juntos house,"11,743.00",122,96.25
23/07/2025,Wednesday,Juntos boutique,544.50,6,90.75
23/07/2025,Wednesday,Picadeli,"4,125.20",171,24.12
23/07/2025,Wednesday,Juntos farm shop,"1,161.84",39,29.79
23/07/2025,Wednesday,Tasting place,"1,708.00",68,25.12
23/07/2025,Wednesday,Distribution b2b,"1,875.23",12,156.27
23/07/2025,Wednesday,Activities,0.00,0,0.00
23/07/2025,Wednesday,Juntos Products,43.30,0,0.00
24/07/2025,Thursday,Juntos house,"5,612.00",61,92.00
24/07/2025,Thursday,Juntos boutique,342.50,7,48.93
24/07/2025,Thursday,Picadeli,"4,182.60",193,21.67
24/07/2025,Thursday,Juntos farm shop,"1,607.67",63,25.52
