,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,01  Enero,1/27/2024,AR3X,Abono tiquet AR3X,,-13.00,-198.64 €,Juntos house,,2/21/2024,Juntos house,6652
,2024,01  Enero,1/27/2024,AR3I,Invitaciones AR3I,,22.00,0.00 €,Juntos house,,2/22/2024,Distribution b2b,286
,2024,01  Enero,1/27/2024,AT1T,Factura simplificada AT1T,,24.00,675.62 €,Juntos house,,2/22/2024,Juntos boutique,273
,2024,01  Enero,1/27/2024,AR3F,Factura AR3F,,14.00,198.64 €,Juntos house,,2/22/2024,Juntos house,2844
,2024,01  Enero,1/28/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,3.00,40.91 €,Distribution b2b,,2/23/2024,Distribution b2b,564
,2024,01  Enero,1/28/2024,AT1T,Factura simplificada AT1T,,26.00,656.20 €,Juntos house,,2/23/2024,Juntos Products,105
,2024,01  Enero,1/28/2024,AR3G,Tiquet AR3G,,372.00,"4,938.02 €",Juntos house,,2/23/2024,Juntos boutique,309
,2024,01  Enero,1/29/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,13.50 €,Distribution b2b,,2/23/2024,Juntos house,3883
,2024,01  Enero,1/29/2024,FVA,ALBARANES DE VENTA,,50.95,177.94 €,Distribution b2b,,2/24/2024,Juntos boutique,920
,2024,01  Enero,1/29/2024,FVM,FACTURAS DE VENTA MERCADOS,,2.00,29.09 €,Distribution b2b,,2/24/2024,Juntos house,3879
,2024,01  Enero,1/29/2024,JVF,FACTURAS DE VENTA,,1.00,19.83 €,Juntos Products,,2/25/2024,Juntos boutique,1545
,2024,01  Enero,1/29/2024,JVM,FACTURA DE VENTA MERCADO,,7.00,180.99 €,Juntos Products,,2/25/2024,Juntos house,5984
,2024,01  Enero,1/30/2024,JVA,ALBARANES DE VENTA,,1.00,45.62 €,Juntos Products,,2/26/2024,Distribution b2b,57
,2024,01  Enero,1/30/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,2/27/2024,Distribution b2b,237
,2024,01  Enero,1/30/2024,FVA,ALBARANES DE VENTA,,128.60,439.65 €,Distribution b2b,,2/28/2024,Distribution b2b,340
,2024,01  Enero,1/31/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,2/28/2024,Juntos boutique,136
,2024,01  Enero,1/31/2024,AT1T,Factura simplificada AT1T,,6.00,262.40 €,Juntos house,,2/28/2024,Juntos house,1970
,2024,01  Enero,1/31/2024,AR3G,Tiquet AR3G,,217.50,"3,075.55 €",Juntos house,,2/29/2024,Distribution b2b,706
,2024,01  Enero,1/31/2024,FVJ,FACTURA DE VENTA JUNTOS,,2.00,45.50 €,Distribution b2b,,2/29/2024,Juntos Products,134
,2024,01  Enero,1/31/2024,FVA,ALBARANES DE VENTA,,96.30,400.41 €,Distribution b2b,,2/29/2024,Juntos boutique,121
,2024,02  Febrero,2/1/2024,AR3G,Tiquet AR3G,,230.00,"2,846.55 €",Juntos house,,2/29/2024,Juntos house,2244
,2024,02  Febrero,2/1/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,48.40 €,Distribution b2b,,3/1/2024,Juntos boutique,645
,2024,02  Febrero,2/1/2024,FVA,ALBARANES DE VENTA,,128.95,530.25 €,Distribution b2b,,3/1/2024,Juntos house,4998
,2024,02  Febrero,2/1/2024,AT1T,Factura simplificada AT1T,,6.00,95.94 €,Juntos house,,3/2/2024,Juntos boutique,168
,2024,02  Febrero,2/2/2024,AR3G,Tiquet AR3G,,117.00,"1,573.09 €",Juntos house,,3/2/2024,Juntos house,3560
